item_id,title,description,tags,category,location,state,min price (RM),max price (RM),operating hours,operating days,closing days,rating,host_id,host_name,contact,more_info,opening_time,closing_time,price_type
18,Songket Weaving Memento Experience,"Tanoti artisans will assist participants to design their own fabric. Once the design is decided, participants will plot the pattern out on graph paper and then proceed to a dedicated loom to weave. Depending on the design, the mini project should be able to complete between 2-2.5 hours","weaving, textile, arts",Arts & Crafts,"Tanoti House, Kuching, Sarawak",Sarawak,0.0,250.0,8:00 AM - 4:00 pm,Daily,Not mentioned,4.3,HO15,Tanoti,0 82 239 277,https://tanoticrafts.com/products/tanoti-songket-weaving-experience,8:00 AM,4:00 PM,Free / Not mentioned
19,Lambo Sari,"Lambo Sari Resources is a Terengganu-based social enterprise promoting local arts and culture through interactive experiences and tourism packages. It collaborates with local artisans to offer batik crafts, wau coloring sets, and cultural workshops, empowering the community while preserving Terengganuâ€™s traditional heritage.","arts, culture, batik, wau, craft, heritage, community, tourism, workshop",Culture & Heritage,"28486, JALAN KETAPANG, Kampung Telaga Daing, 21300 Kuala Terengganu, Terengganu",Terengganu,25.0,150.0,10:00 AM - 5:00 pm,Daily,Friday,4.8,HO16,Lambo Sari,019-943 8979,https://lambosari.com.my/,10:00 AM,5:00 PM,Paid
20,Sahabat Gamelan (Saga),"Sahabat Gamelan (SAGA) Warisan Sari is a cultural center dedicated to preserving and teaching traditional Malay gamelan music and dance. Open by appointment, it offers interactive learning sessions for groups interested in Malaysiaâ€™s classical performing arts.","music, dance, heritage, performance, culture",Culture & Heritage,"Lot 20237 (sebelah Sek Keb, Jln Tok Jembal, Kampung Tok Jembal, 21300, Terengganu",Terengganu,10.0,30.0,10:00 AM - 6:00 PM,Daily,Sunday,4.7,HO17,Sahabat Gamelan,013-937 4747,https://www.facebook.com/sagawarisan/?locale=ms_MY,10:00 AM,6:00 PM,Paid
21,Pua Kumbu Tapestries,"The pua kumbu or 'cover cloth' is traditionally woven by Iban ladies to manifest their dreams. Very few in the community attain the status of master weaver, who is able to interpret dreams, weave patterns to represent their dreams and to tell the stories or julok of pua fabric.","weaving, textile, arts",Arts & Crafts,"Tanoti House, Kuching, Sarawak",Sarawak,450.0,5000.0,9:00 AM - 5:30 PM,Daily,Not mentioned,4.3,HO15,Tanoti,082-239 277,https://tanoticrafts.com/collections/pua-kumbu-tapestries?srsltid=AfmBOorJ9f0Yj7FnzGgGNUl_Qe_y9gf5BG7ZakiGsiaNi--e0TJll2WL,9:00 AM,5:30 PM,Paid
22,Natural Batik Village,"Natural Batik Village in Balok, Pahang, showcases Malaysiaâ€™s traditional batik art through live demonstrations and hands-on workshops. Visitors can create their own batik, explore local crafts, and shop handmade textiles, supporting local artisans and promoting cultural heritage along the East Coast.","batik, craft, heritage, workshop, textile, culture",Arts & Crafts,"Lot 4898, Batu 9 1/2, Jalan Kemaman, Kg. Chengal Lempong Balok, 26100 Kuantan, Pahang",Pahang,15.0,80.0,10:00 AM - 7:00 PM,Daily,Not mentioned,3.9,HO19,Natural Batik Village,012-795 3382,https://www.facebook.com/naturalbatikvillage/,10:00 AM,7:00 PM,Paid
23,Pottery Making At Win Kraf Labu Sayong,"Win Kraf Labu Sayong in Kuala Kangsar, Perak, is a family-run pottery workshop specializing in the traditional Labu Sayong water pitcher. Visitors can join hands-on pottery sessions guided by local artisans, blending traditional and modern craftsmanship in a memorable cultural experience.","pottery, craft, heritage, labu_sayong, arts, workshop, culture",Arts & Crafts,"11, Jalan Kampung, Kampung Sayong Lembah, 33040 Kuala Kangsar, Perak",Perak,10.0,40.0,9:00 AM - 7:00 PM,Daily,Not mentioned,4.4,HO20,Ridzuan bin Hamli,012-5615524,Not Available,9:00 AM,7:00 PM,Paid
24,Labu Sayong Xtream Craft Deco N Pottery,"Labu Sayong Xtream Craft Deco N Pottery in Kuala Kangsar offers a wide range of handcrafted Labu Sayong products, including home dÃ©cor, lamps, souvenirs, and water dispensers. The shop also accepts bulk custom orders, promoting traditional Perak pottery craftsmanship.","labu_sayong, pottery, craft, souvenir, heritage, arts, handmade",Arts & Crafts,"No 12, Kampung Sayong Tengah, 33040 Kuala Kangsar, Perak",Perak,10.0,60.0,9:00 AM - 6:30 PM,Daily,Not mentioned,5.0,HO21,Zulkifli Yamir Hashim,012-292 2884,https://www.facebook.com/XtreamCraftDecoNPottery/,9:00 AM,6:30 PM,Paid
25,Labu Sayong Kraf Hanis,"Kraf Hanis Labu Sayong is a family-owned pottery business in Kuala Kangsar, Perak, specializing in crafting traditional Labu Sayong water pitchers. Combining heritage and creativity, the workshop produces decorative and functional clay items that preserve Perakâ€™s rich cultural craftsmanship.","labu_sayong, pottery, craft, heritage, handmade, family_business, arts",Arts & Crafts,"No 98, Kampung Sayong Lembah, 33040 Kuala Kangsar",Perak,8.0,50.0,10:00 AM - 5:30 PM,Daily,Not mentioned,4.3,HO22,Hanis,017-549 9942,https://www.facebook.com/krafhanislabusayongofficial/?locale=ms_MY,10:00 AM,5:30 PM,Paid
26,Bonita And Beads Sarawak,"Bonita and Beads Sarawak celebrates the intricate art of Bornean beadwork through handcrafted accessories inspired by indigenous Dayak designs. Each piece reflects Sarawakâ€™s cultural identity and craftsmanship, empowering local artisans and preserving traditional heritage through modern creative expression.","beads, craft, handmade, heritage, arts, culture",Arts & Crafts,"111, Lor Demak Maju 1A, Demak Industrial Park, 93050 Kuching, Sarawak",Sarawak,15.0,312.0,9:00 AM - 5:30 PM.,Daily,Sunday,4.4,HO23,Nurul Wanie,016-251 8757,https://www.facebook.com/khaniebonita/,9:00 AM,5:30 PM,Paid
27,Galeri Tekatan Benang Emas,"Galeri Tekatan Benang Emas in Perak showcases the traditional Malay embroidery art of gold thread stitching. Visitors can admire exquisite handcrafted textiles and learn how artisans preserve this intricate heritage craft, blending elegance, tradition, and cultural pride.","embroidery, gold_thread, craft, heritage, arts, handmade, culture",Arts & Crafts,"33000, 73, Kampung Padang Changkat, Bukit Chandan, 33000 Kuala Kangsar, Perak",Perak,0.0,3.0,10:00 AM - 5:00 PM,Daily,Sunday,5.0,HO24,Hajah Azizah,Not Provided,https://www.facebook.com/hajjahazizahyusof/?locale=ms_MY,10:00 AM,5:00 PM,Free / Not mentioned
28,Tekat Benhafni,"Tekat by Benhafni specializes in traditional Malay gold thread embroidery, offering custom-made pieces and interactive workshops. Visitors can learn the delicate art of tekat from skilled artisans while supporting the preservation of Perakâ€™s rich cultural and artistic heritage.","embroidery, gold_thread, craft, heritage, workshop, arts",Arts & Crafts,Ipoh Perak,Perak,250.0,1500.0,Upon Booking,Upon Booking,Upon Booking,4.2,HO25,Muhammad Hilmi bin Muhammad Hafni,011-3078 0506,https://www.facebook.com/p/Tekat-Benhafni-61572586137183/,Not Appplicable,Not Appplicable,Paid
29,Azydar Enterprise,"Azydar Enterprise is a local business dedicated to preserving Perakâ€™s traditional tekat benang emas craftsmanship. The enterprise specializes in producing and selling exquisite hand-embroidered tekat items, including decorative panels, accessories, and ceremonial gifts. Each piece reflects meticulous artistry and cultural elegance, making it a cherished representation of Malay heritage.","embroidery, gold_thread, craft, heritage, handmade, souvenir",Arts & Crafts,"No 57A, Kg Padang Changkat bukit chandan, Kuala Kangsar 33000",Perak,25.0,1800.0,Upon Booking,Upon Booking,Upon Booking,4.3,HO26,Azydar,instagram: @azydartekat,https://www.instagram.com/azydartekat/?hl=en,Not Appplicable,Not Appplicable,Paid
30,Jadi Batek - Batik Fashion Gifts Wholesaler Retailer,"Jadi Batek is one of the largest batik centers in Kuala Lumpur, offering daily tours where visitors can watch batik-making, meet local artists, and learn the stories behind each creation. Guests can also join hands-on workshops to create their own batik pieces and shop for a wide range of handcrafted batik products and Malaysian souvenirs. Itâ€™s a one-stop destination for experiencing the beauty of Malaysian art and culture.","batik, handicraft, workshop, heritage, culture, art, souvenir, tour",Arts & Crafts,"30, Jalan Inai, Imbi, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,16.0,100.0,9:00 AM - 5:30 PM.,Daily,Not mentioned,4.6,HO27,Jadi Batek,03-2145 1133,https://jadibatek.com/,9:00 AM,5:30 PM,Paid
31,Batik Boutique Corporate Services And Workshop Studio,"Batik Boutique offers sustainable, artisan-made batik gifts crafted by local Malaysian artisans. Using eco-friendly materials and customizable designs, they provide flexible orders, reliable delivery, and high-quality craftsmanship â€” perfect for meaningful corporate gifting.","batik, artisan, sustainable, eco_friendly, corporate_gift, handicraft, custom_design, local_artisan",Arts & Crafts,"62-1 First Floor, The Row, Jalan Doraisamy, Jln, Chow Kit, 50300 Kuala Lumpur",Kuala Lumpur,100.0,600.0,9:00 AM - 6:00 PM,Daily,Saturday - Sunday,4.9,HO28,Batik Boutique,018-230 8313,https://batikboutique.com/pages/corporate-products-services?srsltid=AfmBOop6Q2wZSto1I5ll3_9GeOpgjonv8iXLtcF0t9JaxD5IpFa2b7Dg,9:00 AM,6:00 PM,Paid
32,Cwoks Batik Workshop,"Cwoks Batik Workshop is an art gallery and creative studio offering hands-on batik painting sessions starting from RM10. Open daily from 10am to 6pm, it provides visitors with an accessible and fun way to explore Malaysiaâ€™s traditional batik art.","batik, workshop, handicraft, interactive_experience, culture, creative_activity, art",Arts & Crafts,"Kompleks Kraf Kuala Lumpur, Jalan Conlay, Wilayah Persekutuan, 50450 Kuala Lumpur",Kuala Lumpur,10.0,50.0,10:00 AM - 6:00 PM,Daily,Not mentioned,5.0,HO29,Cwoks Batik,012-257 2344,https://www.instagram.com/cwoksbatikworkshop/?hl=en,10:00 AM,6:00 PM,Paid
33,Mybatik Art Gallery,"A creative batik studio and cafÃ© in Kuala Lumpur offering workshops, handmade batik products, and art-inspired food in a relaxing garden setting. Visitors can learn batik painting or shop for unique textile souvenirs.","batik, workshop, art_gallery",Arts & Crafts,"51, Embun Kemensah, Jln Tiara Kemensah 3, 68000 Ampang Jaya, Selangor",Selangor,147.2,960.0,8:00 AM. - 3:00 PM,Daily,Not mentioned,4.8,HO30,Emilia Tan,012-257 9775,https://mybatik.org.my/,Not Appplicable,Not Appplicable,Paid
34,Pusat Pengembangan Tenun Pahang Diraja Kg. Soi,"A cultural center showcasing Royal Pahang Weaving, with live demonstrations and opportunities to buy fine handwoven textiles. Visitors can experience the heritage of traditional Malay weaving.","weaving, textile, heritage",Arts & Crafts,"Kampung Soi, Kuantan",Pahang,80.0,800.0,9:00 AM - 5:00 PM,Daily,Sunday,4.8,HO31,Pusat Tenun Diraja,-5161841,â€”,9:00 AM,5:00 PM,Paid
35,Galeri Tenun Pahang,"A gallery displaying and selling authentic Tenun Pahang sarongs, shawls, and garments while promoting the regionâ€™s traditional weaving legacy.","weaving, textile, handcrafted",Arts & Crafts,Kuantan,Pahang,100.0,1000.0,9:00 AM - 5:00 PM,Daily,Sunday,4.7,HO32,Galeri Tenun Pahang,-5177955,https://www.facebook.com/galeritenunpahang,9:00 AM,5:00 PM,Paid
36,Nordin Batik Sdn. Bhd,"Established in the 1970s, this family-run batik business is one of Malaysiaâ€™s pioneers. Known for high-quality craftsmanship and innovative designs, it remains a key name in the local batik industry.","batik, textile, heritage",Arts & Crafts,"Lot 147, Kampung Pintu Geng, 15100, Kota Bahru, Kelantan",Kelantan,50.0,400.0,10:00 AM - 5:00 PM,Daily,Not mentioned,4.0,HO33,Haji Nordin Bin Mahmod,09-747 3397,https://www.facebook.com/nordinbatikandcraftkelantan/?locale=ms_MY,10:00 AM,5:00 PM,Paid
37,Che Minah Songket,"Founded in 1940, Che Minah Songket continues the legacy of handmade songket weaving in Kota Bharu, Kelantan. The family business preserves traditional techniques passed down for generations.","songket, handwoven, heritage",Arts & Crafts,"350, Kg Penambang, 15350 Kota Bharu, Kelantan",Kelantan,200.0,1000.0,9:00 AM - 6:30 PM,Daily,Not mentioned,4.4,HO34,Mohamed bin Haji Hussein,013-927 1616,https://www.instagram.com/cikminahsongket/?hl=en,9:00 AM,6:30 PM,Paid
38,Kampung Budaya Terengganu,"An open-air cultural village offering live demonstrations of weaving, silat, gamelan, and traditional crafts. The village highlights architecture, customs, and arts from all eight Terengganu districts.","cultural_village, heritage",Culture & Heritage,"Terengganu State Museum, Kampung Bukit Losong, 20566 Kuala Terengganu, Terengganu",Terengganu,0.0,5.0,9:00 AM - 5:00 PM,Daily,Tuesday - Friday,4.7,HO35,Kampung Budaya Terengganu,09-623 1553,https://www.discoveryterengganu.com/tempat/kampung-budaya-terengganu/,9:00 AM,5:00 PM,Free / Not mentioned
39,Malaysia Heritage Studios,A cultural attraction showcasing traditional Malaysian houses and legendary characters through immersive exhibits.,"heritage, culture, museum",Culture & Heritage,"Bemban, Malacca",Melaka,30.0,80.0,10:00 AM - 6:00 PM,Daily,Not mentioned,4.1,HO36,Malaysia Heritage Studios,06-253 2288,https://www.malaysiaheritagestudios.com/,10:00 AM,6:00 PM,Paid
40,Baba Nyonya Heritage Museum,"A historic Peranakan house in Melaka exhibiting unique Baba Nyonya culture, furniture, and lifestyle.","museum, heritage, peranakan",Culture & Heritage,"48-50, Jalan Tun Tan Cheng Lock, 75200 Melaka",Melaka,25.0,100.0,10:00 AM - 4:00 PM,Daily,Tuesday,4.4,HO37,Baba Nyonya Museum,06-282 1273,https://www.babanyonyamuseum.com/,10:00 AM,4:00 PM,Paid
41,Kampung Budaya Sarawak,"An award-winning living museum featuring Sarawakâ€™s ethnic houses, crafts, and traditional performances.","culture, heritage_village",Culture & Heritage,"Pantai Damai Santubong, Kampung Budaya Sarawak, 93752 Kuching, Sarawak",Sarawak,55.0,135.0,9:00 AM - 5:00 PM,Daily,Not mentioned,4.4,HO6,Kampung Budaya Sarawak,082-846 108,https://scv.com.my/ms/,9:00 AM,5:00 PM,Paid
42,Festival Wayang Wong 2025,"A Javanese theater festival in Johor blending dance, music, and drama celebrating traditional heritage.","festival, performance, heritage",Festivals & Performances,"Keraton Mbah Anang, Muar Johor",Johor,0.0,0.0,8:00 PM - 11:00 PM,18 - 19 October,Not mentioned,3.8,HO39,Persatuan Jawa Parit Bugis Johor,013-679 3242,https://www.facebook.com/PJPBM/,8:00 PM,11:00 PM,Free / Not mentioned
43,Traditional Dance Workshop,Professional dance company offering workshops and performances in traditional and contemporary dance.,"dance, culture, workshop",Festivals & Performances,"A1-1, Block A, Jalan Excella, Execella 3 Off Taman Ampang Putra Taman, Ampang Hilir, 55100 Kuala Lumpur",Kuala Lumpur,50.0,250.0,10:00 AM - 4:30 PM,Daily,Saturday - Sunday,5.0,HO40,ASK Dance Company,03-4287 6674,https://askdancecompany.com/,10:00 AM,4:30 PM,Paid
44,Learning Traditional Dance,A collaborative platform promoting Malaysiaâ€™s cultural dance through classes and performances.,"dance, culture, performance",Festivals & Performances,Kuala Lumpur,Kuala Lumpur,45.0,127.0,24 hours,Daily,Not mentioned,5.0,HO41,Dansa Fusion,dansafusionkl@gmail.com,https://dansafusionkl.wixsite.com/dansafusionkualalump,Not Appplicable,Not Appplicable,Paid
45,Learn Cooking Malaysian Local Cuisine,Hands-on cooking classes in Kuala Lumpur teaching authentic Malaysian dishes for all levels.,"cooking_class, culinary, local_cuisine",Food & Culinary,"Menara Bangsar, 297, Jalan Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,350.0,450.0,9:30 AM - 1:00 PM,Daily,Sunday,4.9,HO42,LaZat Cooking School,019-238 1198,https://www.lazatcooking.com/,9:30 AM,1:00 PM,Paid
46,Kilang Kerepek Mak Jah,"A local snack factory producing various types of kerepek (chips) made from banana, cassava, and more.","snack, chips, local_food",Food & Culinary,"Tiang Lampu, 89, Parit Lapis Laman, 83500 Parit Sulong, Johor",Johor,10.0,50.0,8:00 AM - 6:00 PM,Daily,Not mentioned,4.3,HO43,Kilang Kerepek Mak Jah,016-949 3202,https://www.facebook.com/MakJahKrepek/,8:00 AM,6:00 PM,Paid
47,Nba Ledang Foodstuff,"Snack manufacturer producing kerepek, bottled drinks, and custom baked goods like bahulu and muffins.","snack, bakery, local_food",Food & Culinary,"BATU 8. JALAN BUKIT KANGKAR SUNGAI MATI, 84400 Tangkak, Johor",Johor,10.0,75.0,9:00 AM - 6:00 PM,Daily,Not mentioned,4.0,HO44,Mr Nordin Asha'ari & assisted by Mrs Zaini Hassan,012-906 0952,https://www.facebook.com/nbaledangfoodstuff.kerepek/about,9:00 AM,6:00 PM,Paid
48,Perusahaan Kerepek Tok Atan,"Traditional chip producer known for crispy tapioca and banana chips, popular among locals.","snack, chips, traditional_food",Food & Culinary,"Kilang kerepek, bt 17, jalan, 84200 Muar, Johor",Johor,5.0,70.0,9:00 AM - 6:00 PM,Daily,Not mentioned,3.7,HO45,Unknown Host,017-369 5243,Not Available,9:00 AM,6:00 PM,Paid
49,Kerepek Ubi Pedas Zaronah / Tugi,Local homemade spicy tapioca chips with crunchy texture and authentic Johor flavor. Available for bulk orders.,"snack, chips, local_food",Food & Culinary,"83500 Parit Sulong, Johor",Johor,5.0,70.0,9:00 AM - 6:00 PM,Daily,Not mentioned,4.4,HO46,Zaronah/ Tugi,07-418 7086,Not Available,9:00 AM,6:00 PM,Paid
50,Kuih Bakar Tradisional Bandar Melaka,"A traditional bakery known for soft and aromatic kuih bakar, freshly made daily using heritage recipes.","dessert, kuih_bakar, bakery",Food & Culinary,"Jln LP 14, Taman Cergas, 75200 Melaka",Melaka,3.0,6.0,10:00 AM - 6:00 PM,Daily,Not mentioned,4.0,HO47,Kuih Bakar Tradisional Melaka,010-7935499,https://www.facebook.com/kuihbakartradisional.co/,10:00 AM,6:00 PM,Paid
51,Kuih Bakar Kuala Ina,"Famous for spiced kuih bakar, crispy outside and soft inside, lasting up to a week outside fridge.","dessert, kuih_bakar, traditional",Food & Culinary,"AG 4126, Kampung Kuala Ina, 78000 Alor Gajah, Melaka",Melaka,2.2,5.0,8:00 AM - 7:00 PM,Daily,Not mentioned,4.6,HO48,Matsura Talip,014-265 2575,https://www.facebook.com/KuihBakarKualaInaMastura/,8:00 AM,7:00 PM,Paid
52,Perusahaan Keropok Lekor Hj. Puteh,"Popular keropok lekor spot in Mersing, serving fresh and crispy fish crackers loved by locals and tourists.","keropok_lekor, local_food, snack",Food & Culinary,"Kampung Tenglu Kecil, 86800 Mersing, Johor",Johor,5.0,20.0,8:00 AM - 7:00 PM,Daily,Not mentioned,4.2,HO49,Haji Puteh,018-781 5702,https://www.facebook.com/p/Keropok-Haji-Puteh-Mersing-100063676325998/,8:00 AM,7:00 PM,Paid
53,Traditional Instrument Gambus By Habis Kreatif Enterprise,Online store specializing in handmade gambus and other traditional Malay instruments.,"gambus, musical_instrument, handmade",Arts & Crafts,Johor,Johor,150.0,300.0,24 hours,Daily,Not mentioned,4.3,HO50,Encik Halidan Bin Ithnin (Habis Kreatif Enterprise),012-7318112,https://www.mycraftshoppe.com/shop/habis-kreatif-enterprise?lang=bm,Not Appplicable,Not Appplicable,Paid
54,Traditional Music Instrument Maker And Supplier,"Local craftsman specializing in kompang, marwas, and rebana, handcrafted from quality wood and leather. Visitors can observe the process or order custom instruments.","traditional_instrument, rebana, kompang",Arts & Crafts,Batu Pahat,Johor,80.0,500.0,9:00 AM - 6:00 PM,Daily,Sunday,4.6,HO51,Encik Azman Bin Yusof,012-748 2541,Not Available,9:00 AM,6:00 PM,Paid
