,item_id,title,description,tags,category,location,state,min price (RM),max price (RM),operating hours,operating days,closing days,rating,host_id,host_name,contact,more_info,opening_time,closing_time,price_type,clean_description,clean_tags,clean_category,clean_features,semantic_features
39,40,Baba Nyonya Heritage Museum,"A historic Peranakan house in Melaka exhibiting unique Baba Nyonya culture, furniture, and lifestyle.","museum, heritage, peranakan",Culture & Heritage,"48-50, Jalan Tun Tan Cheng Lock, 75200 Melaka",Melaka,25,100,10.00 AM - 4.00 PM,Daily,Tuesday,4.4,HO37,Baba Nyonya Museum,06-282 1273,https://www.babanyonyamuseum.com/,,,Paid,historic peranakan house melaka exhibiting unique baba nyonya culture furniture lifestyle,museum heritage peranakan,culture heritage,historic peranakan house melaka exhibiting unique baba nyonya culture furniture lifestyle museum heritage peranakan museum heritage peranakan museum heritage peranakan culture heritage culture heritage ,historic peranakan house melaka exhibiting unique baba nyonya culture furniture lifestyle museum heritage peranakan culture heritage
40,41,Kampung Budaya Sarawak,"An award-winning living museum featuring Sarawakâ€™s ethnic houses, crafts, and traditional performances.","culture, heritage village, sarawak",Culture & Heritage,"Pantai Damai Santubong, Kampung Budaya Sarawak, 93752 Kuching, Sarawak",Sarawak,55,135,9.00 AM - 5.00 PM,Daily,Not mentioned,4.4,HO6,Kampung Budaya Sarawak,082-846 108,https://scv.com.my/ms/,,,Paid,awardwinning living museum featuring sarawak ethnic house craft traditional performance,culture heritage village sarawak,culture heritage,awardwinning living museum featuring sarawak ethnic house craft traditional performance culture heritage village sarawak culture heritage village sarawak culture heritage village sarawak culture heritage culture heritage ,awardwinning living museum featuring sarawak ethnic house craft traditional performance culture heritage village sarawak culture heritage
41,42,Festival Wayang Wong 2025,"A Javanese theater festival in Johor blending dance, music, and drama celebrating traditional heritage.","festival, performing arts, heritage",Festivals & Performances,"Keraton Mbah Anang, Muar Johor",Johor,0,0,8.00 pm - 11.00 pm,18 â€“ 19 October,Not mentioned,3.8,HO39,Persatuan Jawa Parit Bugis Johor,013-679 3242,https://www.facebook.com/PJPBM/,,,Free / Not mentioned,javanese theater festival johor blending dance music drama celebrating traditional heritage,festival performing art heritage,festival performance,javanese theater festival johor blending dance music drama celebrating traditional heritage festival performing art heritage festival performing art heritage festival performing art heritage festival performance festival performance ,javanese theater festival johor blending dance music drama celebrating traditional heritage festival performing art heritage festival performance
42,43,Traditional Dance Workshop,Professional dance company offering workshops and performances in traditional and contemporary dance.,"dance, culture, workshop",Festivals & Performances,"A1-1, Block A, Jalan Excella, Execella 3 Off Taman Ampang Putra Taman, Ampang Hilir, 55100 Kuala Lumpur",Kuala Lumpur,50,250,10.00 AM - 4.30 PM,Daily,Saturday â€“ Sunday,5,HO40,ASK Dance Company,03-4287 6674,https://askdancecompany.com/,,,Paid,professional dance company offering workshop performance traditional contemporary dance,dance culture workshop,festival performance,professional dance company offering workshop performance traditional contemporary dance dance culture workshop dance culture workshop dance culture workshop festival performance festival performance ,professional dance company offering workshop performance traditional contemporary dance dance culture workshop festival performance
43,44,Learning Traditional Dance,A collaborative platform promoting Malaysiaâ€™s cultural dance through classes and performances.,"traditional dance, culture, performance",Festivals & Performances,Kuala Lumpur,Kuala Lumpur,45,127,24 hours,Daily,Not mentioned,5,HO41,Dansa Fusion,dansafusionkl@gmail.com,https://dansafusionkl.wixsite.com/dansafusionkualalump,,,Paid,collaborative platform promoting malaysia cultural dance class performance,traditional dance culture performance,festival performance,collaborative platform promoting malaysia cultural dance class performance traditional dance culture performance traditional dance culture performance traditional dance culture performance festival performance festival performance ,collaborative platform promoting malaysia cultural dance class performance traditional dance culture performance festival performance
44,45,Learn Cooking Malaysian Local Cuisine,Hands-on cooking classes in Kuala Lumpur teaching authentic Malaysian dishes for all levels.,"cooking class, culinary, local cuisine",Food & Culinary,"Menara Bangsar, 297, Jalan Maarof, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,350,450,9.30 AM - 1.00 PM,Daily,Sunday,4.9,HO42,LaZat Cooking School,019-238 1198,https://www.lazatcooking.com/,,,Paid,handson cooking class kuala lumpur teaching authentic malaysian dish level,cooking class culinary local cuisine,food culinary,handson cooking class kuala lumpur teaching authentic malaysian dish level cooking class culinary local cuisine cooking class culinary local cuisine cooking class culinary local cuisine food culinary food culinary ,handson cooking class kuala lumpur teaching authentic malaysian dish level cooking class culinary local cuisine food culinary
45,46,Kilang Kerepek Mak Jah,"A local snack factory producing various types of kerepek (chips) made from banana, cassava, and more.","snack, kerepek, local food",Food & Culinary,"Tiang Lampu, 89, Parit Lapis Laman, 83500 Parit Sulong, Johor",Johor,10,50,8.00 AM - 6.00 PM,Daily,Not mentioned,4.3,HO43,Kilang Kerepek Mak Jah,016-949 3202,https://www.facebook.com/MakJahKrepek/,,,Paid,local snack factory producing various type kerepek chip made banana cassava,snack kerepek local food,food culinary,local snack factory producing various type kerepek chip made banana cassava snack kerepek local food snack kerepek local food snack kerepek local food food culinary food culinary ,local snack factory producing various type kerepek chip made banana cassava snack kerepek local food food culinary
46,47,Nba Ledang Foodstuff,"Snack manufacturer producing kerepek, bottled drinks, and custom baked goods like bahulu and muffins.","foodstuff, snack, bakery",Food & Culinary,"BATU 8. JALAN BUKIT KANGKAR SUNGAI MATI, 84400 Tangkak, Johor",Johor,10,75,9.00 AM - 6.00 pm,Daily,Not mentioned,4,HO44,Mr Nordin Asha'ari & assisted by Mrs Zaini Hassan,012-906 0952,https://www.facebook.com/nbaledangfoodstuff.kerepek/about,,,Paid,snack manufacturer producing kerepek bottled drink custom baked good like bahulu muffin,foodstuff snack bakery,food culinary,snack manufacturer producing kerepek bottled drink custom baked good like bahulu muffin foodstuff snack bakery foodstuff snack bakery foodstuff snack bakery food culinary food culinary ,snack manufacturer producing kerepek bottled drink custom baked good like bahulu muffin foodstuff snack bakery food culinary
47,48,Perusahaan Kerepek Tok Atan,"Traditional chip producer known for crispy tapioca and banana chips, popular among locals.","kerepek, snack, traditional food",Food & Culinary,"Kilang kerepek, bt 17, jalan, 84200 Muar, Johor",Johor,5,70,9.00 AM - 6.00 PM,Daily,Not mentioned,3.7,HO45,Unknown Host,017-369 5243,Not Available,,,Paid,traditional chip producer known crispy tapioca banana chip popular among local,kerepek snack traditional food,food culinary,traditional chip producer known crispy tapioca banana chip popular among local kerepek snack traditional food kerepek snack traditional food kerepek snack traditional food food culinary food culinary ,traditional chip producer known crispy tapioca banana chip popular among local kerepek snack traditional food food culinary
48,49,Kerepek Ubi Pedas Zaronah / Tugi,Local homemade spicy tapioca chips with crunchy texture and authentic Johor flavor. Available for bulk orders.,"snack, kerepek, local food",Food & Culinary,"83500 Parit Sulong, Johor",Johor,5,70,9.00 AM - 6.00 PM,Daily,Not mentioned,4.4,HO46,Zaronah/ Tugi,07-418 7086,Not Available,,,Paid,local homemade spicy tapioca chip crunchy texture authentic johor flavor available bulk order,snack kerepek local food,food culinary,local homemade spicy tapioca chip crunchy texture authentic johor flavor available bulk order snack kerepek local food snack kerepek local food snack kerepek local food food culinary food culinary ,local homemade spicy tapioca chip crunchy texture authentic johor flavor available bulk order snack kerepek local food food culinary
49,50,Kuih Bakar Tradisional Bandar Melaka,"A traditional bakery known for soft and aromatic kuih bakar, freshly made daily using heritage recipes.","traditional dessert, kuih bakar, bakery",Food & Culinary,"Jln LP 14, Taman Cergas, 75200 Melaka",Melaka,3,6,10.000 AM - 6.00 PM,Daily,Not mentioned,4,HO47,Kuih Bakar Tradisional Melaka,010-7935499,https://www.facebook.com/kuihbakartradisional.co/,,,Paid,traditional bakery known soft aromatic kuih bakar freshly made daily using heritage recipe,traditional dessert kuih bakar bakery,food culinary,traditional bakery known soft aromatic kuih bakar freshly made daily using heritage recipe traditional dessert kuih bakar bakery traditional dessert kuih bakar bakery traditional dessert kuih bakar bakery food culinary food culinary ,traditional bakery known soft aromatic kuih bakar freshly made daily using heritage recipe traditional dessert kuih bakar bakery food culinary
50,51,Kuih Bakar Kuala Ina,"Famous for spiced kuih bakar, crispy outside and soft inside, lasting up to a week outside fridge.","kuih bakar, traditional, dessert",Food & Culinary,"AG 4126, Kampung Kuala Ina, 78000 Alor Gajah, Melaka",Melaka,2.2,5,8.00 AM - 7.00 PM,Daily,Not mentioned,4.6,HO48,Matsura Talip,014-265 2575,https://www.facebook.com/KuihBakarKualaInaMastura/,,,Paid,famous spiced kuih bakar crispy outside soft inside lasting week outside fridge,kuih bakar traditional dessert,food culinary,famous spiced kuih bakar crispy outside soft inside lasting week outside fridge kuih bakar traditional dessert kuih bakar traditional dessert kuih bakar traditional dessert food culinary food culinary ,famous spiced kuih bakar crispy outside soft inside lasting week outside fridge kuih bakar traditional dessert food culinary
51,52,Perusahaan Keropok Lekor Hj. Puteh,"Popular keropok lekor spot in Mersing, serving fresh and crispy fish crackers loved by locals and tourists.","keropok lekor, local food, snack",Food & Culinary,"Kampung Tenglu Kecil, 86800 Mersing, Johor",Johor,5,20,8.00 AM - 7.00 PM,Daily,Not mentioned,4.2,HO49,Haji Puteh,018-781 5702,https://www.facebook.com/p/Keropok-Haji-Puteh-Mersing-100063676325998/,,,Paid,popular keropok lekor spot mersing serving fresh crispy fish cracker loved local tourist,keropok lekor local food snack,food culinary,popular keropok lekor spot mersing serving fresh crispy fish cracker loved local tourist keropok lekor local food snack keropok lekor local food snack keropok lekor local food snack food culinary food culinary ,popular keropok lekor spot mersing serving fresh crispy fish cracker loved local tourist keropok lekor local food snack food culinary
52,53,Traditional Instrument Gambus By Habis Kreatif Enterprise,Online store specializing in handmade gambus and other traditional Malay instruments.,"gambus, music instrument, handmade",Arts & Crafts,Johor,Johor,150,300,24 hours,Daily,Not mentioned,4.3,HO50,Encik Halidan Bin Ithnin (Habis Kreatif Enterprise),012-7318112,https://www.mycraftshoppe.com/shop/habis-kreatif-enterprise?lang=bm,,,Paid,online store specializing handmade gambus traditional malay instrument,gambus music instrument handmade,art craft,online store specializing handmade gambus traditional malay instrument gambus music instrument handmade gambus music instrument handmade gambus music instrument handmade art craft art craft ,online store specializing handmade gambus traditional malay instrument gambus music instrument handmade art craft
53,54,Traditional Music Instrument Maker And Supplier,"Local craftsman specializing in kompang, marwas, and rebana, handcrafted from quality wood and leather. Visitors can observe the process or order custom instruments.","traditional instruments, rebana, kompang",Arts & Crafts,Batu Pahat,Johor,80,500,9 AM â€“ 6 PM,Daily,Sunday,4.6,HO51,Encik Azman Bin Yusof,012-748 2541,â€”,,,Paid,local craftsman specializing kompang marwas rebana handcrafted quality wood leather visitor observe process order custom instrument,traditional instrument rebana kompang,art craft,local craftsman specializing kompang marwas rebana handcrafted quality wood leather visitor observe process order custom instrument traditional instrument rebana kompang traditional instrument rebana kompang traditional instrument rebana kompang art craft art craft ,local craftsman specializing kompang marwas rebana handcrafted quality wood leather visitor observe process order custom instrument traditional instrument rebana kompang art craft
54,55,Cenderamata Kayu By Kayu Warisan,"Workshop crafting rustic wooden furniture and home dÃ©cor including stools, tables, and ornaments. Custom orders accepted.","woodcraft, rustic furniture, handmade",Arts & Crafts,"Jln Sawah Baru, Kampung Leboh, 85300, Johor Darul Ta'zim",Johor,140,400,8.00 AM - 5.00 PM,Daily,Saturday,4.7,HO52,Nor Hazilawati binti Buang,012-754 2897,https://www.facebook.com/kayuwarisan/?locale=ms_MY,,,Paid,workshop crafting rustic wooden furniture home dcor including stool table ornament custom order accepted,woodcraft rustic furniture handmade,art craft,workshop crafting rustic wooden furniture home dcor including stool table ornament custom order accepted woodcraft rustic furniture handmade woodcraft rustic furniture handmade woodcraft rustic furniture handmade art craft art craft ,workshop crafting rustic wooden furniture home dcor including stool table ornament custom order accepted woodcraft rustic furniture handmade art craft
55,56,Ronna Creativa Rattan Craft,Online-based business selling rattan crafts for home decoration and daily use.,"rattan, craft, home decor",Arts & Crafts,"Jalan Datin Halimah, Johor, Malaysia, Johor Bahru, Malaysia",Johor,45,200,24 Hours,Daily,Saturday,4.9,HO53,Ronna Creative,Not Provided,https://shopee.com.my/tehatiey,,,Paid,onlinebased business selling rattan craft home decoration daily use,rattan craft home decor,art craft,onlinebased business selling rattan craft home decoration daily use rattan craft home decor rattan craft home decor rattan craft home decor art craft art craft ,onlinebased business selling rattan craft home decoration daily use rattan craft home decor art craft
56,57,Ottornest Camp,"HRDC-claimable corporate camp offering team building, retreats, and impactful eco experiences.","teambuilding, eco, corporate camp",Nature & Eco,"TL JSG, Otternest Camp, Hutan Lipur Gunung Pulai 2, 81500 Pekan Nanas, Johor Darul Ta'zim",Johor,120,180,24 Hours,Daily,Not mentioned,4.8,HO54,Ahmad Tarmizi Yusof,014-338 2599,https://www.facebook.com/otternest/,,,Paid,hrdcclaimable corporate camp offering team building retreat impactful eco experience,teambuilding eco corporate camp,nature eco,hrdcclaimable corporate camp offering team building retreat impactful eco experience teambuilding eco corporate camp teambuilding eco corporate camp teambuilding eco corporate camp nature eco nature eco ,hrdcclaimable corporate camp offering team building retreat impactful eco experience teambuilding eco corporate camp nature eco
57,58,Rumah Laksa Enam Bintang,"Local laksa eatery known for its rich broth and signature toppings, popular among food lovers in Johor.","laksa, restaurant, local food",Food & Culinary,"Jalan Melati, Kg Maju Jaya, Jalan Kempas Lama",Johor,5,14,4.30 PM - 10.30 PM,Daily,Monday â€“ Tuesday,4.8,HO55,Rumah Laksa,013-774 1887,https://www.facebook.com/saudagarantik.antik/,,,Paid,local laksa eatery known rich broth signature topping popular among food lover johor,laksa restaurant local food,food culinary,local laksa eatery known rich broth signature topping popular among food lover johor laksa restaurant local food laksa restaurant local food laksa restaurant local food food culinary food culinary ,local laksa eatery known rich broth signature topping popular among food lover johor laksa restaurant local food food culinary
58,59,Perniagaan Benang Serat Nanas M&Z,Produces and sells crafts made from pineapple fiber thread (serat nanas) including handbags and souvenirs.,"eco craft, pineapple fiber, handmade",Arts & Crafts,"Kampung Terjun Rimba, 82000 Pontian District, Johor",Johor,8,180,8.00 AM - 5.00 PM,Daily,Not mentioned,5,HO56,Munah Binti Kadir,014-314 0656,https://www.facebook.com/p/Perniagaan-Benang-Serat-Nanas-100090451722896/,,,Paid,produce sell craft made pineapple fiber thread serat nanas including handbag souvenir,eco craft pineapple fiber handmade,art craft,produce sell craft made pineapple fiber thread serat nanas including handbag souvenir eco craft pineapple fiber handmade eco craft pineapple fiber handmade eco craft pineapple fiber handmade art craft art craft ,produce sell craft made pineapple fiber thread serat nanas including handbag souvenir eco craft pineapple fiber handmade art craft
59,60,Eco Tourism Kampung Sungai Melayu,"Community-run eco-tourism business offering mangrove tours, wildlife viewing, and marine product sales.","ecotourism, mangrove, community-based",Nature & Eco,"eside Asam pedas (berdekatan klinik desa, Jalan Kampung Sungai Melayu, Kampung Sungai Melayu, 79503 Iskandar Puteri, Johor",Johor,0,35,9.00 AM - 4.00 PM,Daily,Not mentioned,4.5,HO57,Koperasi Penduduk Kampung Sungai Melayu,011-6779 6693,https://www.facebook.com/people/Eco-Pelancongan-Kg-Sg-Melayu-Johor-Baharu/61563288885795/?mibextid=ZbWKwL,,,Free / Not mentioned,communityrun ecotourism business offering mangrove tour wildlife viewing marine product sale,ecotourism mangrove communitybased,nature eco,communityrun ecotourism business offering mangrove tour wildlife viewing marine product sale ecotourism mangrove communitybased ecotourism mangrove communitybased ecotourism mangrove communitybased nature eco nature eco ,communityrun ecotourism business offering mangrove tour wildlife viewing marine product sale ecotourism mangrove communitybased nature eco
60,61,Air Terjun Takah Pengkoi,"Hidden waterfall located in an Orang Asli village in Segamat, Johor. Offers camping, chalets, and a unique â€œbus stayâ€ experience with BBQ facilities and no mobile signal â€” perfect for a digital detox.","nature, waterfall, camping, hidden gem",Nature & Eco,"Bekok, Johor",Johor,15,70,9.00 AM - 8.00 PM,Daily,Not mentioned,4.4,HO58,Ros,019 659 9316,Not Available,,,Paid,hidden waterfall located orang asli village segamat johor offer camping chalet unique bus stay experience bbq facility mobile signal perfect digital detox,nature waterfall camping hidden gem,nature eco,hidden waterfall located orang asli village segamat johor offer camping chalet unique bus stay experience bbq facility mobile signal perfect digital detox nature waterfall camping hidden gem nature waterfall camping hidden gem nature waterfall camping hidden gem nature eco nature eco ,hidden waterfall located orang asli village segamat johor offer camping chalet unique bus stay experience bbq facility mobile signal perfect digital detox nature waterfall camping hidden gem nature eco
61,62,Open Traditional Dance Class,"Experience learning traditional Malaysian dance with locals at Dataran Tanjung Emas, Muar.","traditional dance, culture, experience",Festivals & Performances,Dataran Tanjung Emas Muar,Johor,0,0,8.30 PM - 11.00 PM,Saturday,Not mentioned,4.3,HO59,Unknown Host,Not Provided,tiktok,,,Free / Not mentioned,experience learning traditional malaysian dance local dataran tanjung emas muar,traditional dance culture experience,festival performance,experience learning traditional malaysian dance local dataran tanjung emas muar traditional dance culture experience traditional dance culture experience traditional dance culture experience festival performance festival performance ,experience learning traditional malaysian dance local dataran tanjung emas muar traditional dance culture experience festival performance
62,63,D'Impian Agro Farm,"An agro-tourism attraction in Muar featuring a mini zoo, flower garden, melon farm, glamping, and family-friendly facilities. Offers motivational and school visit packages.","agro tourism, family, farm, glamping",Nature & Eco,"234, Jalan Muar, Kampung Sungai Belukang, 83610 Muar, Johor Darul Ta'zim",Johor,10,15,9.00 AM - 6.00 PM,Daily,Not mentioned,4.3,HO60,D'Impian Agrofarm,011-1628 5534,https://dimpianagrofarm.com/,,,Paid,agrotourism attraction muar featuring mini zoo flower garden melon farm glamping familyfriendly facility offer motivational school visit package,agro tourism family farm glamping,nature eco,agrotourism attraction muar featuring mini zoo flower garden melon farm glamping familyfriendly facility offer motivational school visit package agro tourism family farm glamping agro tourism family farm glamping agro tourism family farm glamping nature eco nature eco ,agrotourism attraction muar featuring mini zoo flower garden melon farm glamping familyfriendly facility offer motivational school visit package agro tourism family farm glamping nature eco
63,64,Uk Farm Kluang Agro Resort,"Malaysiaâ€™s largest goat and sheep farm offering tours, fruit orchards, and farm experiences in Kluang, Johor.","farm, agro tourism, animals, orchard",Nature & Eco,"Projek Pertanian Moden Kluang,, KM13 Jalan Batu Pahat, Kluang, 8, 86000 Kluang, Johor",Johor,45,170,9.00 AM - 6.00 PM,Daily,Not mentioned,3.9,HO61,UK Farm,07-759 7555,https://ukfarm.com.my/,,,Paid,malaysia largest goat sheep farm offering tour fruit orchard farm experience kluang johor,farm agro tourism animal orchard,nature eco,malaysia largest goat sheep farm offering tour fruit orchard farm experience kluang johor farm agro tourism animal orchard farm agro tourism animal orchard farm agro tourism animal orchard nature eco nature eco ,malaysia largest goat sheep farm offering tour fruit orchard farm experience kluang johor farm agro tourism animal orchard nature eco
64,65,Talula Hill Farm Resort,"A farm resort near Gunung Lambak offering fruit picking, animal feeding, and scenic mountain views â€” ideal for eco-retreats.","farm resort, eco tourism, mountain",Nature & Eco,"PTD 40612, Jln Padang Tembak, 86000 Kluang, Johor Darul Ta'zim",Johor,439,534,Upon Booking,Daily,Not mentioned,4.4,HO62,Talula Hill Farm Resort Kluang,019-375 5818,https://talulahill.com/,,,Paid,farm resort near gunung lambak offering fruit picking animal feeding scenic mountain view ideal ecoretreats,farm resort eco tourism mountain,nature eco,farm resort near gunung lambak offering fruit picking animal feeding scenic mountain view ideal ecoretreats farm resort eco tourism mountain farm resort eco tourism mountain farm resort eco tourism mountain nature eco nature eco ,farm resort near gunung lambak offering fruit picking animal feeding scenic mountain view ideal ecoretreats farm resort eco tourism mountain nature eco
65,66,Kek Lapis Mua Izzaty,"A local bakery in Kota Tinggi specializing in premium kek lapis and brownies, known for its vibrant layered cakes.","bakery, kek lapis, dessert, johor",Food & Culinary,"No. 3, Jalan Permai, Taman Sedili, 81900 Kota Tinggi, Johor",Johor,15,25,10.00 AM - 7.00 PM,Daily,Wednesday,5,HO63,Izzaty,Not Provided,https://www.instagram.com/keklapismuaizzaty/,,,Paid,local bakery kota tinggi specializing premium kek lapis brownie known vibrant layered cake,bakery kek lapis dessert johor,food culinary,local bakery kota tinggi specializing premium kek lapis brownie known vibrant layered cake bakery kek lapis dessert johor bakery kek lapis dessert johor bakery kek lapis dessert johor food culinary food culinary ,local bakery kota tinggi specializing premium kek lapis brownie known vibrant layered cake bakery kek lapis dessert johor food culinary
66,67,Mee Siput Kak Chik,"Supplier of traditional mee siput in raw and fried form, also providing customized door gift packages.","traditional food, mee siput, snack",Food & Culinary,"KB 6B, lorong 1 kanan, Kampung Sawah Ring, 84700 Gerisek, Johor Darul Ta'zim",Johor,2,10.5,24 hours,Daily,Not mentioned,4.4,HO64,Md Shahir Meskon,019-627 6570,https://www.facebook.com/meesiputkakchik/?locale=ms_MY,,,Paid,supplier traditional mee siput raw fried form also providing customized door gift package,traditional food mee siput snack,food culinary,supplier traditional mee siput raw fried form also providing customized door gift package traditional food mee siput snack traditional food mee siput snack traditional food mee siput snack food culinary food culinary ,supplier traditional mee siput raw fried form also providing customized door gift package traditional food mee siput snack food culinary
67,68,Herbal Nasuha,Malaysiaâ€™s largest herbal plantation with restaurants serving herbal cuisine and products.,"herbs, agro tourism, wellness",Nature & Eco,"Jalan Muar, 84500 Muar, Johor Darul Ta'zim",Johor,1,20,10.30 a;m - 5.00 PM,Daily,Not mentioned,4.2,HO65,Nasuha Herbs,018-768 1000,https://www.facebook.com/NasuhaHerbsRestaurant/,,,Paid,malaysia largest herbal plantation restaurant serving herbal cuisine product,herb agro tourism wellness,nature eco,malaysia largest herbal plantation restaurant serving herbal cuisine product herb agro tourism wellness herb agro tourism wellness herb agro tourism wellness nature eco nature eco ,malaysia largest herbal plantation restaurant serving herbal cuisine product herb agro tourism wellness nature eco
68,69,Tanjak Warisan Yusoff,Online shop selling traditional Malay tanjak and accessories for cultural and ceremonial wear.,"tanjak, traditional attire, crafts",Culture & Heritage,"NO.8A, TAPAK PASAR MINGGU, PEKAN, Tunjang, 06000 Jitra, Kedah",Kedah,55,150,24 hours,Daily,Not mentioned,3.8,HO66,Tanjak Warisan Yusoff,010 336 2469,https://www.instagram.com/tanjakwarisanyusoff/reels/,,,Paid,online shop selling traditional malay tanjak accessory cultural ceremonial wear,tanjak traditional attire craft,culture heritage,online shop selling traditional malay tanjak accessory cultural ceremonial wear tanjak traditional attire craft tanjak traditional attire craft tanjak traditional attire craft culture heritage culture heritage ,online shop selling traditional malay tanjak accessory cultural ceremonial wear tanjak traditional attire craft culture heritage
69,70,Busana & Tanjak Pengiran,"A boutique producing traditional Malay attire such as Baju Layang, Baju Silat, Baju Sikap, and accessories like pending and samping.","traditional wear, busana melayu, tanjak",Culture & Heritage,"No.1, Tingkat 2, Kompleks Pekan Selasa, Kuala Nerang, 06300 Kuala Nerang, Kedah",Kedah,80,220,10.00 AM - 4.30 PM,Daily,Thursday,5,HO67,Busana & Tanjak Pengiran,011-1307 0771,https://shopee.com.my/diayu71,,,Paid,boutique producing traditional malay attire baju layang baju silat baju sikap accessory like pending samping,traditional wear busana melayu tanjak,culture heritage,boutique producing traditional malay attire baju layang baju silat baju sikap accessory like pending samping traditional wear busana melayu tanjak traditional wear busana melayu tanjak traditional wear busana melayu tanjak culture heritage culture heritage ,boutique producing traditional malay attire baju layang baju silat baju sikap accessory like pending samping traditional wear busana melayu tanjak culture heritage
70,71,Galeri Wau Pak Sapie And Sons,A local art and craft shop specializing in traditional Malay kites and handmade crafts.,"wau, craft, heritage, culture",Arts & Crafts,"Galeri Wau Pak Sapie, Jalan Pantai Cahaya Bulan, 15350 Kota Bharu, Kelantan",Kelantan,0,20,9.00 AM - 3.00 PM,Daily,Not mentioned,4.3,HO68,Wan Anuar,0 13-395 4207,https://www.facebook.com/galeriwau/,,,Free / Not mentioned,local art craft shop specializing traditional malay kite handmade craft,wau craft heritage culture,art craft,local art craft shop specializing traditional malay kite handmade craft wau craft heritage culture wau craft heritage culture wau craft heritage culture art craft art craft ,local art craft shop specializing traditional malay kite handmade craft wau craft heritage culture art craft
71,72,Homemade Coklat Nise,"Traditional Kelantanese handmade chocolate candy by Puan Roziah Hussein, known as Coklat Nise.","traditional sweet, handmade, Kelantan",Food & Culinary,Kelantan,Kelantan,6.5,10,24 hours,Daily,Not mentioned,4.9,HO69,Roziah Hussein,Not Provided,https://shopee.com.my/Gula-Gula-Manisan-Gula-Melaka-Coklat-Nisan-Homemade-(40pcs)-i.14693110.6778937015?stm_medium=referral&stm_source=rw&uls_trackid=84935a39a3b4,,,Paid,traditional kelantanese handmade chocolate candy puan roziah hussein known coklat nise,traditional sweet handmade kelantan,food culinary,traditional kelantanese handmade chocolate candy puan roziah hussein known coklat nise traditional sweet handmade kelantan traditional sweet handmade kelantan traditional sweet handmade kelantan food culinary food culinary ,traditional kelantanese handmade chocolate candy puan roziah hussein known coklat nise traditional sweet handmade kelantan food culinary
72,73,Mira Cake House (Kek Basah Sarawak),"Family business famous for Sarawak layered moist cake, known as Kek Lapis Basah.","kek lapis, sarawak, dessert, bakery",Food & Culinary,"9, Jalan Enggang, Taman Keramat, 54200 Kuala Lumpur, Selangor",Kuala Lumpur,12,150,7.30 AM - 11.00 PM,Daily,Not mentioned,4.4,HO70,MIra Cake House,012-854 1004,https://miracakehouse.com/,,,Paid,family business famous sarawak layered moist cake known kek lapis basah,kek lapis sarawak dessert bakery,food culinary,family business famous sarawak layered moist cake known kek lapis basah kek lapis sarawak dessert bakery kek lapis sarawak dessert bakery kek lapis sarawak dessert bakery food culinary food culinary ,family business famous sarawak layered moist cake known kek lapis basah kek lapis sarawak dessert bakery food culinary
73,74,Selling Craft By Orang Asli,Handmade crafts created by the indigenous Orang Asli community.,"orang asli, handicraft, culture",Arts & Crafts,"Central Market, No. G23, Ground Floor, Kuala Lumpur.",Kuala Lumpur,20,180,10.00 AM - 10.00 PM,Daily,Not mentioned,4.7,HO71,Asli Kraf,03-22741811,https://www.instagram.com/aslikraf/?hl=en,,,Paid,handmade craft created indigenous orang asli community,orang asli handicraft culture,art craft,handmade craft created indigenous orang asli community orang asli handicraft culture orang asli handicraft culture orang asli handicraft culture art craft art craft ,handmade craft created indigenous orang asli community orang asli handicraft culture art craft
74,75,Malaysia Batik Canting Workshop,Hands-on workshop to experience Malaysian batik painting using traditional canting tools.,"batik, workshop, art, heritage",Arts & Crafts,"Teja, Kuala Lumpur",Kuala Lumpur,100,150,10.30 AM - 12.00 PM,Upon Booking,Upon Booking,4.9,HO72,Hafiz,Not Provided,https://www.airbnb.com/experiences/1341680?adults=1&children=0&infants=0,,,Paid,handson workshop experience malaysian batik painting using traditional canting tool,batik workshop art heritage,art craft,handson workshop experience malaysian batik painting using traditional canting tool batik workshop art heritage batik workshop art heritage batik workshop art heritage art craft art craft ,handson workshop experience malaysian batik painting using traditional canting tool batik workshop art heritage art craft
75,76,Ikan Bilis Sabarang Sungai Enterprise,"A local seafood supplier near Bebuluh Water Village, showcasing life in Labuanâ€™s floating communities.","seafood, local product, Labuan",Nature & Eco,"Bebuloh laut, Bl 0045A, Kampung Bebuloh Laut, 87000 Labuan, Labuan Federal Territory",Labuan,0,0,8.00 AM - 5.00 PM,Daily,Friday,5,HO73,Unknown Host,012-8311849,Not Available,,,Free / Not mentioned,local seafood supplier near bebuluh water village showcasing life labuans floating community,seafood local product labuan,nature eco,local seafood supplier near bebuluh water village showcasing life labuans floating community seafood local product labuan seafood local product labuan seafood local product labuan nature eco nature eco ,local seafood supplier near bebuluh water village showcasing life labuans floating community seafood local product labuan nature eco
